uf_id,sigla_uf,uf,regiao_id,regiao,ordem_uf,ordem_regiao
11,RO,Rondônia,1,Norte,22,1
12,AC,Acre,1,Norte,1,1
13,AM,Amazonas,1,Norte,4,1
14,RR,Roraima,1,Norte,23,1
15,PA,Pará,1,Norte,16,1
16,AP,Amapá,1,Norte,3,1
17,TO,Tocantins,1,Norte,27,1
21,MA,Maranhão,2,Nordeste,10,2
22,PI,Piauí,2,Nordeste,18,2
23,CE,Ceará,2,Nordeste,6,2
24,RN,Rio Grande do Norte,2,Nordeste,19,2
25,PB,Paraíba,2,Nordeste,15,2
26,PE,Pernambuco,2,Nordeste,17,2
27,AL,Alagoas,2,Nordeste,2,2
28,SE,Sergipe,2,Nordeste,25,2
29,BA,Bahia,2,Nordeste,5,2
31,MG,Minas Gerais,3,Sudeste,13,3
32,ES,Espírito Santo,3,Sudeste,8,3
33,RJ,Rio de Janeiro,3,Sudeste,21,3
35,SP,São Paulo,3,Sudeste,26,3
41,PR,Paraná,4,Sul,14,4
42,SC,Santa Catarina,4,Sul,24,4
43,RS,Rio Grande do Sul,4,Sul,20,4
50,MS,Mato Grosso do Sul,5,Centro-Oeste,12,5
51,MT,Mato Grosso,5,Centro-Oeste,11,5
52,GO,Goiás,5,Centro-Oeste,9,5
53,DF,Distrito Federal,5,Centro-Oeste,7,5
