uf_id,ano,localizacao_id,domicilio_id,populacao_indigena
11,2010,1,1,0
11,2010,1,2,9217
11,2010,2,1,2906
11,2010,2,2,953
11,2022,1,1,0
11,2022,1,2,11525
11,2022,2,1,8094
11,2022,2,2,1527
12,2010,1,1,0
12,2010,1,2,13308
12,2010,2,1,2595
12,2010,2,2,1675
12,2022,1,1,0
12,2022,1,2,19583
12,2022,2,1,8849
12,2022,2,2,3262
13,2010,1,1,1230
13,2010,1,2,128299
13,2010,2,1,33086
13,2010,2,2,20899
13,2022,1,1,33070
13,2022,1,2,116010
13,2022,2,1,272796
13,2022,2,2,69059
14,2010,1,1,949
14,2010,1,2,45556
14,2010,2,1,7294
14,2010,2,2,2123
14,2022,1,1,1544
14,2022,1,2,70210
14,2022,2,1,20130
14,2022,2,2,5784
15,2010,1,1,0
15,2010,1,2,35816
15,2010,2,1,9966
15,2010,2,2,5435
15,2022,1,1,360
15,2022,1,2,41459
15,2022,2,1,24978
15,2022,2,2,14183
16,2010,1,1,0
16,2010,1,2,5956
16,2010,2,1,1360
16,2010,2,2,95
16,2022,1,1,0
16,2022,1,2,7853
16,2022,2,1,2859
16,2022,2,2,622
17,2010,1,1,0
17,2010,1,2,11560
17,2010,2,1,2179
17,2010,2,2,379
17,2022,1,1,0
17,2022,1,2,15213
17,2022,2,1,4195
17,2022,2,2,615
21,2010,1,1,587
21,2010,1,2,29034
21,2010,2,1,6337
21,2010,2,2,2873
21,2022,1,1,1001
21,2022,1,2,40676
21,2022,2,1,10695
21,2022,2,2,4794
22,2010,1,1,0
22,2010,1,2,0
22,2010,2,1,2357
22,2010,2,2,587
22,2022,1,1,0
22,2022,1,2,114
22,2022,2,1,3721
22,2022,2,2,3367
23,2010,1,1,710
23,2010,1,2,2278
23,2010,2,1,12351
23,2010,2,2,5358
23,2022,1,1,6542
23,2022,1,2,3979
23,2022,2,1,27897
23,2022,2,2,17954
24,2010,1,1,0
24,2010,1,2,0
24,2010,2,1,2080
24,2010,2,2,517
24,2022,1,1,0
24,2022,1,2,0
24,2022,2,1,5390
24,2022,2,2,6334
25,2010,1,1,7426
25,2010,1,2,10870
25,2010,2,1,6295
25,2010,2,2,452
25,2022,1,1,6721
25,2022,1,2,12323
25,2022,2,1,10270
25,2022,2,2,826
26,2010,1,1,5363
26,2010,1,2,26473
26,2010,2,1,22158
26,2010,2,2,7001
26,2022,1,1,7599
26,2022,1,2,26715
26,2022,2,1,51158
26,2022,2,2,21174
27,2010,1,1,0
27,2010,1,2,6268
27,2010,2,1,6233
27,2010,2,2,3790
27,2022,1,1,2924
27,2022,1,2,3748
27,2022,2,1,11800
27,2022,2,2,7253
28,2010,1,1,0
28,2010,1,2,316
28,2010,2,1,4446
28,2010,2,2,459
28,2022,1,1,0
28,2022,1,2,329
28,2022,2,1,3886
28,2022,2,2,495
29,2010,1,1,5073
29,2010,1,2,11744
29,2010,2,1,32985
29,2010,2,2,10318
29,2022,1,1,5413
29,2022,1,2,11798
29,2022,2,1,174622
29,2022,2,2,37610
31,2010,1,1,0
31,2010,1,2,9682
31,2010,2,1,19843
31,2010,2,2,2152
31,2022,1,1,1737
31,2022,1,2,10400
31,2022,2,1,20398
31,2022,2,2,4164
32,2010,1,1,246
32,2010,1,2,2759
32,2010,2,1,6110
32,2010,2,2,470
32,2022,1,1,0
32,2022,1,2,4663
32,2022,2,1,8721
32,2022,2,2,1026
33,2010,1,1,0
33,2010,1,2,450
33,2010,2,1,15156
33,2010,2,2,288
33,2022,1,1,0
33,2022,1,2,546
33,2022,2,1,16074
33,2022,2,2,374
35,2010,1,1,406
35,2010,1,2,2361
35,2010,2,1,37511
35,2010,2,2,1703
35,2022,1,1,3
35,2022,1,2,4176
35,2022,2,1,48415
35,2022,2,2,2737
41,2010,1,1,0
41,2010,1,2,11934
41,2010,2,1,12509
41,2010,2,2,2116
41,2022,1,1,0
41,2022,1,2,13893
41,2022,2,1,12327
41,2022,2,2,4246
42,2010,1,1,427
42,2010,1,2,8800
42,2010,2,1,7314
42,2010,2,2,1672
42,2022,1,1,372
42,2022,1,2,10420
42,2022,2,1,9974
42,2022,2,2,1007
43,2010,1,1,1167
43,2010,1,2,17099
43,2010,2,1,13023
43,2010,2,2,2712
43,2022,1,1,929
43,2022,1,2,14795
43,2022,2,1,13324
43,2022,2,2,7054
50,2010,1,1,1645
50,2010,1,2,59513
50,2010,2,1,13249
50,2010,2,2,2618
50,2022,1,1,1423
50,2022,1,2,67259
50,2022,2,1,40438
50,2022,2,2,7349
51,2010,1,1,629
51,2010,1,2,41896
51,2010,2,1,5662
51,2010,2,2,3509
51,2022,1,1,242
51,2022,1,2,44933
51,2022,2,1,9875
51,2022,2,2,3306
52,2010,1,1,105
52,2010,1,2,231
52,2010,2,1,7925
52,2010,2,2,322
52,2022,1,1,106
52,2022,1,2,238
52,2022,2,1,18537
52,2022,2,2,636
53,2010,1,1,0
53,2010,1,2,0
53,2010,2,1,5941
53,2010,2,2,187
53,2022,1,1,0
53,2022,1,2,0
53,2022,2,1,5337
53,2022,2,2,474
