Localidade,Indígenas 2010 Total,Indígenas 2010 Urbano,Indígenas 2010 Rural,Indígenas 2010 TI Total,Indígenas 2010 TI Urbano,Indígenas 2010 TI Rural,Indígenas 2010 Fora TI Total,Indígenas 2010 Fora TI Urbano,Indígenas 2010 Fora TI Rural,Indígenas 2022 Total,Indígenas 2022 Urbano,Indígenas 2022 Rural,Indígenas 2022 TI Total,Indígenas 2022 TI Urbano,Indígenas 2022 TI Rural,Indígenas 2022 Fora TI Total,Indígenas 2022 Fora TI Urbano,Indígenas 2022 Fora TI Rural,% Indígenas 2010 Urbano,% Indígenas 2010 Rural,% Indígenas 2010 TI Urbano,% Indígenas 2010 TI Rural,% Indígenas 2010 Fora TI Urbano,% Indígenas 2010 Fora TI Rural,% Indígenas 2022 Urbano,% Indígenas 2022 Rural,% Indígenas 2022 TI Urbano,% Indígenas 2022 TI Rural,% Indígenas 2022 Fora TI Urbano,% Indígenas 2022 Fora TI Rural
Rondônia,13076,2906,10170,9217,0,9217,3859,2906,953,21146,8094,13052,11525,0,11525,9621,8094,1527,22.223921688589783,77.77607831141022,0.0,100.0,75.30448302669085,24.695516973309147,38.276742646363374,61.72325735363662,0.0,100.0,84.12846897411912,15.871531025880886
Acre,17578,2595,14983,13308,0,13308,4270,2595,1675,31694,8849,22845,19583,0,19583,12111,8849,3262,14.762771646376152,85.23722835362385,0.0,100.0,60.7728337236534,39.2271662763466,27.920111062030667,72.07988893796933,0.0,100.0,73.06580794319214,26.93419205680786
Amazonas,183514,34316,149198,129529,1230,128299,53985,33086,20899,490935,305866,185069,149080,33070,116010,341855,272796,69059,18.699390782174657,81.30060921782535,0.9495942993460923,99.05040570065391,61.287394646661106,38.712605353338894,62.30274883640401,37.69725116359599,22.182720686879527,77.81727931312047,79.7987450819792,20.201254918020798
Roraima,55922,8243,47679,46505,949,45556,9417,7294,2123,97668,21674,75994,71754,1544,70210,25914,20130,5784,14.740173813525983,85.25982618647402,2.040640791312762,97.95935920868723,77.45566528618455,22.544334713815438,22.191505918007945,77.80849408199205,2.1517964155308418,97.84820358446916,77.68001852280621,22.319981477193796
Pará,51217,9966,41251,35816,0,35816,15401,9966,5435,80980,25338,55642,41819,360,41459,39161,24978,14183,19.458382958783215,80.54161704121678,0.0,100.0,64.71008376079476,35.28991623920525,31.2892072116572,68.7107927883428,0.8608527224467347,99.13914727755326,63.782845177600166,36.21715482239984
Amapá,7411,1360,6051,5956,0,5956,1455,1360,95,11334,2859,8475,7853,0,7853,3481,2859,622,18.35109971663743,81.64890028336256,0.0,100.0,93.47079037800687,6.529209621993128,25.22498676548438,74.77501323451563,0.0,100.0,82.13157138753232,17.86842861246768
Tocantins,14118,2179,11939,11560,0,11560,2558,2179,379,20023,4195,15828,15213,0,15213,4810,4195,615,15.434197478396374,84.56580252160363,0.0,100.0,85.18373729476153,14.816262705238467,20.95090645757379,79.0490935424262,0.0,100.0,87.21413721413721,12.785862785862786
Maranhão,38831,6924,31907,29621,587,29034,9210,6337,2873,57166,11696,45470,41677,1001,40676,15489,10695,4794,17.831114315881642,82.16888568411837,1.981702170757233,98.01829782924275,68.80564603691639,31.194353963083604,20.45971381590456,79.54028618409545,2.401804352520575,97.59819564747943,69.04900251791594,30.95099748208406
Piauí,2944,2357,587,0,0,0,2944,2357,587,7202,3721,3481,114,0,114,7088,3721,3367,80.06114130434783,19.938858695652172,0.0,0.0,80.06114130434783,19.938858695652172,51.666203832268806,48.33379616773119,0.0,100.0,52.497178329571106,47.502821670428894
Ceará,20697,13061,7636,2988,710,2278,17709,12351,5358,56372,34439,21933,10521,6542,3979,45851,27897,17954,63.105764120403926,36.894235879596074,23.761713520749666,76.23828647925033,69.74419786549213,30.255802134507874,61.09238629106649,38.90761370893351,62.18040110255679,37.81959889744321,60.84272971145668,39.15727028854333
