Localidade,Indígenas 2010 Total,Indígenas 2010 Urbano,Indígenas 2010 Rural,Indígenas 2010 TI Total,Indígenas 2010 TI Urbano,Indígenas 2010 TI Rural,Indígenas 2010 Fora TI Total,Indígenas 2010 Fora TI Urbano,Indígenas 2010 Fora TI Rural,Indígenas 2022 Total,Indígenas 2022 Urbano,Indígenas 2022 Rural,Indígenas 2022 TI Total,Indígenas 2022 TI Urbano,Indígenas 2022 TI Rural,Indígenas 2022 Fora TI Total,Indígenas 2022 Fora TI Urbano,Indígenas 2022 Fora TI Rural,% Indígenas 2010 Urbano,% Indígenas 2010 Rural,% Indígenas 2010 TI Urbano,% Indígenas 2010 TI Rural,% Indígenas 2010 Fora TI Urbano,% Indígenas 2010 Fora TI Rural,% Indígenas 2022 Urbano,% Indígenas 2022 Rural,% Indígenas 2022 TI Urbano,% Indígenas 2022 TI Rural,% Indígenas 2022 Fora TI Urbano,% Indígenas 2022 Fora TI Rural,Região,Participação no Brasil (%),Participação na Região (%),% Indígenas 2022 em TI,Urbanização 2010 (%),Urbanização 2022 (%),Mudança na urbanização (p.p.),Crescimento absoluto,Crescimento relativo (%),TI urbano (%),Fora TI urbano (%),Referência regional em TI (%),Diferença da referência regional em TI (p.p.),Perfil em TI,Perfil fora de TI
Rondônia,13076,2906,10170,9217,0,9217,3859,2906,953,21146,8094,13052,11525,0,11525,9621,8094,1527,22.223921688589783,77.77607831141022,0.0,100.0,75.30448302669085,24.695516973309147,38.276742646363374,61.72325735363662,0.0,100.0,84.12846897411912,15.871531025880886,Norte,1.2476723411586725,2.805327814481679,54.50203348150951,22.223921688589783,38.276742646363374,16.05282095777359,8070,61.71612113796267,0.0,84.12846897411912,42.03175992995304,12.470273551556467,Predominância rural,Predominância urbana
Acre,17578,2595,14983,13308,0,13308,4270,2595,1675,31694,8849,22845,19583,0,19583,12111,8849,3262,14.762771646376152,85.23722835362385,0.0,100.0,60.7728337236534,39.2271662763466,27.920111062030667,72.07988893796933,0.0,100.0,73.06580794319214,26.93419205680786,Norte,1.8700334427637837,4.204675104141792,61.78772007319997,14.762771646376152,27.920111062030667,13.157339415654516,14116,80.30492661281147,0.0,73.06580794319214,42.03175992995304,19.75596014324693,Predominância rural,Predominância urbana
Amazonas,183514,34316,149198,129529,1230,128299,53985,33086,20899,490935,305866,185069,149080,33070,116010,341855,272796,69059,18.699390782174657,81.30060921782535,0.9495942993460924,99.05040570065393,61.28739464666111,38.712605353338894,62.30274883640401,37.69725116359599,22.182720686879527,77.81727931312047,79.7987450819792,20.2012549180208,Norte,28.966519474450624,65.12974607975802,30.366545469359487,18.699390782174657,62.30274883640401,43.603358054229346,307421,167.51909936026678,22.182720686879527,79.7987450819792,42.03175992995304,-11.665214460593553,Predominância rural,Predominância urbana
Roraima,55922,8243,47679,46505,949,45556,9417,7294,2123,97668,21674,75994,71754,1544,70210,25914,20130,5784,14.740173813525985,85.25982618647402,2.040640791312762,97.95935920868725,77.45566528618455,22.54433471381544,22.191505918007945,77.80849408199205,2.1517964155308418,97.84820358446916,77.68001852280621,22.3199814771938,Norte,5.762681462985209,12.957096234975724,73.46725641970758,14.740173813525983,22.191505918007945,7.451332104481962,41746,74.65040592253496,2.1517964155308418,77.68001852280621,42.03175992995304,31.43549648975454,Predominância rural,Predominância urbana
Pará,51217,9966,41251,35816,0,35816,15401,9966,5435,80980,25338,55642,41819,360,41459,39161,24978,14183,19.45838295878321,80.54161704121678,0.0,100.0,64.71008376079476,35.28991623920525,31.2892072116572,68.7107927883428,0.8608527224467347,99.13914727755326,63.782845177600166,36.21715482239984,Norte,4.778043421310381,10.743187667489188,51.64114596196592,19.458382958783215,31.2892072116572,11.830824252873985,29763,58.11156451959311,0.8608527224467347,63.782845177600166,42.03175992995304,9.609386032012878,Predominância rural,Predominância urbana
Amapá,7411,1360,6051,5956,0,5956,1455,1360,95,11334,2859,8475,7853,0,7853,3481,2859,622,18.35109971663743,81.64890028336256,0.0,100.0,93.47079037800688,6.529209621993128,25.22498676548438,74.77501323451563,0.0,100.0,82.13157138753232,17.86842861246768,Norte,0.6687372701547525,1.5036217463981534,69.28710075877889,18.35109971663743,25.22498676548438,6.8738870488469495,3923,52.934826609094586,0.0,82.13157138753232,42.03175992995304,27.25534082882585,Predominância rural,Predominância urbana
Tocantins,14118,2179,11939,11560,0,11560,2558,2179,379,20023,4195,15828,15213,0,15213,4810,4195,615,15.434197478396374,84.56580252160363,0.0,100.0,85.18373729476153,14.816262705238469,20.95090645757379,79.0490935424262,0.0,100.0,87.21413721413721,12.785862785862786,Norte,1.181412242836475,2.656345352755446,75.97762573041003,15.434197478396374,20.95090645757379,5.516708979177416,5905,41.826037682391274,0.0,87.21413721413721,42.03175992995304,33.945865800456986,Predominância rural,Predominância urbana
Maranhão,38831,6924,31907,29621,587,29034,9210,6337,2873,57166,11696,45470,41677,1001,40676,15489,10695,4794,17.831114315881642,82.16888568411837,1.981702170757233,98.01829782924275,68.80564603691639,31.194353963083604,20.45971381590456,79.54028618409545,2.401804352520575,97.59819564747944,69.04900251791594,30.95099748208406,Nordeste,3.372951719222391,10.803813066025612,72.90522338452926,17.831114315881642,20.45971381590456,2.6285995000229185,18335,47.21742937343875,2.401804352520575,69.04900251791594,24.5464235496893,48.358799834839964,Predominância rural,Predominância urbana
Piauí,2944,2357,587,0,0,0,2944,2357,587,7202,3721,3481,114,0,114,7088,3721,3367,80.06114130434783,19.93885869565217,0.0,0.0,80.06114130434783,19.93885869565217,51.666203832268806,48.33379616773119,0.0,100.0,52.49717832957111,47.502821670428894,Nordeste,0.42493787009480566,1.3611073313073585,1.5828936406553733,80.06114130434783,51.666203832268806,-28.39493747207902,4258,144.63315217391303,0.0,52.497178329571106,24.5464235496893,-22.963529909033927,Predominância rural,Predominância urbana
Ceará,20697,13061,7636,2988,710,2278,17709,12351,5358,56372,34439,21933,10521,6542,3979,45851,27897,17954,63.105764120403926,36.89423587959608,23.761713520749662,76.23828647925033,69.74419786549213,30.255802134507874,61.09238629106649,38.90761370893351,62.18040110255679,37.81959889744321,60.84272971145668,39.15727028854333,Nordeste,3.3261035286009974,10.653754857047822,18.66352089689917,63.105764120403926,61.09238629106649,-2.0133778293374363,35675,172.36797603517417,62.18040110255679,60.84272971145668,24.5464235496893,-5.882902652790133,Predominância urbana,Predominância urbana
Rio Grande do Norte,2597,2080,517,0,0,0,2597,2080,517,11724,5390,6334,0,0,0,11724,5390,6334,80.09241432422026,19.907585675779742,0.0,0.0,80.09241432422026,19.907585675779742,45.9740702831798,54.0259297168202,0.0,0.0,45.9740702831798,54.0259297168202,Nordeste,0.6917483461526661,2.215720959767769,0.0,80.09241432422026,45.9740702831798,-34.11834404104046,9127,351.4439738159415,,45.9740702831798,24.5464235496893,-24.5464235496893,Sem população em TI,Predominância rural
