Localidade,Região,Indígenas 2010 Total,Indígenas 2022 Total,População 2010 (log10),População 2022 (log10),Crescimento absoluto,Crescimento relativo (%),Fator de crescimento (2022/2010),Crescimento logarítmico,Urbanização 2010 (%),Urbanização 2022 (%),Mudança na urbanização (p.p.),Presença em TI 2010 (%),Presença em TI 2022 (%),Mudança na presença em TI (p.p.),TI urbano (%),Fora TI urbano (%)
Rondônia,Norte,13076,21146,4.116474911908331,4.325228227870849,8070,61.71612113796267,1.6171612113796268,0.4806722734483706,22.223921688589783,38.276742646363374,16.05282095777359,70.48791679412665,54.50203348150951,-15.98588331261714,0.0,84.12846897411912
Acre,Norte,17578,31694,4.244969460136198,4.5009770535891995,14116,80.30492661281147,1.8030492661281148,0.5894792683781631,14.762771646376152,27.920111062030667,13.157339415654516,75.70827170326545,61.78772007319997,-13.920551630065482,0.0,73.06580794319214
Amazonas,Norte,183514,490935,5.263669201508104,5.6910239951575585,307421,167.51909936026678,2.675190993602668,0.9840207772767814,18.699390782174657,62.30274883640401,43.60335805422935,70.58262584870909,30.366545469359487,-40.2160803793496,22.182720686879527,79.7987450819792
Roraima,Norte,55922,97668,4.747582695166657,4.989752294528883,41746,74.65040592253496,1.7465040592253496,0.5576161094678027,14.740173813525985,22.191505918007945,7.451332104481962,83.16047351668395,73.46725641970758,-9.693217096976369,2.1517964155308418,77.68001852280621
Pará,Norte,51217,80980,4.709414136381479,4.908377772432394,29763,58.11156451959311,1.581115645195931,0.4581307024187299,19.45838295878321,31.2892072116572,11.830824252873985,69.92990608586993,51.64114596196592,-18.288760123904012,0.8608527224467347,63.782845177600166
Amapá,Norte,7411,11334,3.8698768132667665,4.054383208305477,3923,52.934826609094586,1.5293482660909459,0.42484167477820567,18.35109971663743,25.22498676548438,6.8738870488469495,80.36702199433275,69.28710075877889,-11.079921235553854,0.0,82.13157138753232
Tocantins,Norte,14118,20023,4.149773177559665,4.301529147360923,5905,41.82603768239128,1.4182603768239128,0.3494310338372321,15.434197478396374,20.95090645757379,5.516708979177416,81.8812863011758,75.97762573041003,-5.90366057076578,0.0,87.21413721413721
Maranhão,Nordeste,38831,57166,4.5891785749109655,4.757137804970914,18335,47.21742937343875,1.4721742937343876,0.38674041936679593,17.831114315881642,20.45971381590456,2.6285995000229185,76.28183667688188,72.90522338452926,-3.3766132923526158,2.401804352520575,69.04900251791594
Piauí,Nordeste,2944,7202,3.4689378056654614,3.8574531170352664,4258,144.63315217391303,2.4463315217391304,0.8945895643600537,80.06114130434783,51.666203832268806,-28.39493747207902,0.0,1.5828936406553733,1.5828936406553733,0.0,52.49717832957111
Ceará,Nordeste,20697,56372,4.315907399666257,4.75106344325651,35675,172.36797603517417,2.7236797603517418,1.0019838190971833,63.105764120403926,61.09238629106649,-2.0133778293374363,14.43687490940716,18.66352089689917,4.226645987492008,62.18040110255679,60.84272971145668
Rio Grande do Norte,Nordeste,2597,11724,3.4144719496293026,4.069075809766398,9127,351.4439738159415,4.514439738159415,1.5072810901680347,80.09241432422026,45.9740702831798,-34.11834404104046,0.0,0.0,0.0,,45.9740702831798
Paraíba,Nordeste,25043,30140,4.398686353508193,4.479143247978613,5097,20.35299285229405,1.2035299285229406,0.1852588458361844,54.78976161003075,56.3735899137359,1.5838283037051468,73.05833965579204,63.185136031851364,-9.873203623940675,35.291955471539595,92.55587599134824
Pernambuco,Nordeste,60995,106646,4.785294235643404,5.027944570891818,45651,74.84383965898844,1.7484383965898844,0.5587230447530056,45.12009181080416,55.09536222643136,9.9752704156272,52.19444216739076,32.175609024248445,-20.018833143142317,22.14547997901731,70.72664933915831
Alagoas,Nordeste,16291,25725,4.211947743679433,4.410355383434471,9434,57.909275059848994,1.57909275059849,0.45685047363608106,38.26038917193543,57.23615160349854,18.975762431563112,38.47523172303726,25.93586005830904,-12.539371664728222,43.82494004796163,61.9325040676009
Sergipe,Nordeste,5221,4710,3.7177536932107156,3.673020907128896,-511,-9.787397050373492,0.9021260294962651,-0.10300104640008893,85.15610036391496,82.50530785562633,-2.650792508288632,6.052480367745643,6.985138004246284,0.9326576365006414,0.0,88.70120976945903
Bahia,Nordeste,60120,229443,4.77901897191487,5.3606748124872174,169323,281.64171656686625,3.8164171656686627,1.3393120677548083,63.30339321357285,78.46611140893381,15.16271819536096,27.97238855622089,7.501209450713249,-20.471179105507638,31.45081633838824,82.27882694409891
Minas Gerais,Sudeste,31677,36699,4.500744044598669,4.5646542304537565,5022,15.853774031631785,1.1585377403163177,0.1471586412404019,62.64166429901822,60.31499495899071,-2.326669340027508,30.564763077311614,33.0717458241369,2.506982746825283,14.311609129109334,83.04698314469505
Espírito Santo,Sudeste,9585,14410,3.9815921172140816,4.158663980813989,4825,50.33907146583203,1.5033907146583203,0.4077230335138229,66.31194574856548,60.52047189451769,-5.791473854047787,31.351069379238396,32.35947258848022,1.008403209241827,0.0,89.47368421052632
Rio de Janeiro,Sudeste,15894,16994,4.201233208680875,4.230295613917047,1100,6.920850635459922,1.0692085063545993,0.06691866106336201,95.35673839184598,94.5863245851477,-0.7704138066982864,2.8312570781426953,3.2128986701188653,0.38164159197617,0.0,97.72616731517508
São Paulo,Sudeste,41981,55331,4.6230527793942935,4.74296851931152,13350,31.800100045258567,1.3180010004525857,0.27611619514875707,90.31943021843216,87.50609965480473,-2.8133305636274173,6.5910769157476,7.552728127089696,0.9616512113420965,0.0717875089734386,94.64928057553958
Paraná,Sul,26559,30466,4.424211718939285,4.483815437748665,3907,14.710644226062728,1.1471064422606272,0.1372426344174875,47.09891185662111,40.46149806341495,-6.637413793206157,44.93392070484582,45.601654303157616,0.6677335983117985,0.0,74.3800156881675
Santa Catarina,Sul,18213,21773,4.260381487592611,4.337918272572673,3560,19.54647779058914,1.1954647779058913,0.17853504525377517,42.50260802723329,47.51756762963304,5.014959602399742,50.661615329709555,49.56597620906628,-1.095639120643277,3.446997776130467,90.8296147891813
Rio Grande do Sul,Sul,34001,36102,4.53149169022153,4.557531261875299,2101,6.179230022646393,1.061792300226464,0.05995832951791995,41.73406664509867,39.4798072128968,-2.254259432201877,53.721949354430755,43.55437371890754,-10.167575635523214,5.908165861104045,65.38423790362155
Mato Grosso do Sul,Centro-Oeste,77025,116469,4.886631706988978,5.066210346645398,39444,51.2093476144109,1.5120934761441092,0.41349509869302087,19.336579032781565,35.94175274107273,16.60517370829117,79.40019474196689,58.970198078458644,-20.42999666350824,2.071867447074925,84.62134053194383
