Localidade,Região,K diagnóstico,Agrupamento diagnóstico,Tamanho do agrupamento,PC1,PC2,PC3,Silhouette individual,Sinalizada previamente como atípica,Solução aceita como segmentação
Amazonas,Norte,4,G1,2,4.405285208295445,1.0222959970570356,1.0933291731799883,0.3797843051542052,True,False
Bahia,Nordeste,4,G1,2,2.0038730124906063,2.382096476322132,0.6002348009893043,0.2079430569926052,True,False
Mato Grosso do Sul,Centro-Oeste,4,G2,15,1.7945160284424093,-0.427652392936624,-0.17468338388755772,0.4819315078373086,False,False
Pará,Norte,4,G2,15,1.3484505615815825,-0.32117582388274146,-0.43082978180301307,0.5958449612463534,False,False
Pernambuco,Nordeste,4,G2,15,1.2801855880843043,0.3475393842340039,0.25070765868717765,0.39893293463127566,False,False
Roraima,Norte,4,G2,15,1.1056889131742766,-0.27876677444039294,-1.054042763257777,0.5958285393101509,False,False
Acre,Norte,4,G2,15,0.9271472230383819,-0.3263001328187918,-0.6587006679479951,0.6244851415952266,False,False
Rondônia,Norte,4,G2,15,0.8118750353472577,-0.4922330352371345,-0.13916510141246557,0.5892543642721377,False,False
Alagoas,Nordeste,4,G2,15,0.7235333736560756,-0.19631883175224762,0.6663170331110743,0.31856950568615955,False,False
Mato Grosso,Centro-Oeste,4,G2,15,0.4603168958065028,-1.30792542407861,-0.9496400900916758,0.569204464770804,False,False
Maranhão,Nordeste,4,G2,15,0.35391007872639246,-0.6641701025544114,-1.1118593002490753,0.5935568483061154,False,False
Tocantins,Norte,4,G2,15,0.06751435546903167,-0.94643768403521,-0.9865687981395086,0.5606841076550418,False,False
Amapá,Norte,4,G2,15,0.015087657207064398,-0.7890929338816199,-0.8190490525425428,0.5580274446637742,False,False
Paraíba,Nordeste,4,G2,15,-0.12560956438024445,-0.6668437645112913,0.14716577909935544,0.3067473730878668,False,False
Rio Grande do Sul,Sul,4,G2,15,-0.21371277476541778,-0.9012373122152726,-0.2305029405927828,0.41772488408136793,False,False
Santa Catarina,Sul,4,G2,15,-0.38486699068281705,-0.8419864529592592,0.04543936431056378,0.2376020597862804,False,False
Paraná,Sul,4,G2,15,-0.8278913323502248,-0.7347062560968363,-0.42733398574878567,0.14740214640585128,False,False
São Paulo,Sudeste,4,G3,7,-0.7197453594209462,0.32120863866191257,1.1521663302723326,0.4416081920421185,False,False
Goiás,Centro-Oeste,4,G3,7,-0.7320182880074366,1.3440624720702032,1.1480550498919417,0.26683844211589125,False,False
Minas Gerais,Sudeste,4,G3,7,-0.7486256030212518,-0.47439416329350426,0.32352085325414076,0.09498100558165137,False,False
Espírito Santo,Sudeste,4,G3,7,-1.2104391199986733,-0.00012846455444441574,0.0551669478218727,0.25916362490623235,False,False
Rio de Janeiro,Sudeste,4,G3,7,-1.3042645899697343,-0.2086847018847344,1.6196082945317294,0.5593007069811472,False,False
Sergipe,Nordeste,4,G3,7,-2.0034579382390123,-0.8705111700829343,1.3439296936384433,0.5144038607009324,False,False
Distrito Federal,Centro-Oeste,4,G3,7,-2.050798889456993,-0.544300484426851,1.5521381577696116,0.553827661419939,False,False
Ceará,Nordeste,4,G4,3,-0.28881829577308227,1.4275539111659001,-0.23579876186721271,-0.09810841680570355,True,False
Rio Grande do Norte,Nordeste,4,G4,3,-2.2016899880812577,2.76597720039496,-1.7838624376829297,0.47358092967444604,True,False
Piauí,Nordeste,4,G4,3,-2.4854451971722398,1.382131825736764,-0.9957420713342129,0.3286207288113218,True,False
