Ordem do indicador,Indicador,Localidade,Região,Valor,Q1,Mediana,Q3,IQR,Fator IQR,Limite inferior de Tukey,Limite superior de Tukey,MAD,Escore robusto,Limite do escore robusto,Sinalizada por Tukey,Sinalizada por MAD,Sinalizada,Concordância,Direção,Magnitude do escore robusto
1,Indígenas 2022 Total,Amazonas,Norte,490935.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,16.233620153828117,3.5,True,True,True,Ambos os critérios,Superior,16.233620153828117
1,Indígenas 2022 Total,Bahia,Nordeste,229443.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,7.014841471083303,3.5,True,True,True,Ambos os critérios,Superior,7.014841471083303
1,Indígenas 2022 Total,Mato Grosso do Sul,Centro-Oeste,116469.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,3.031995713261218,3.5,False,False,False,Não sinalizada,Não sinalizada,3.031995713261218
1,Indígenas 2022 Total,Pernambuco,Nordeste,106646.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,2.6856904228485003,3.5,False,False,False,Não sinalizada,Não sinalizada,2.6856904228485003
1,Indígenas 2022 Total,Roraima,Norte,97668.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,2.3691752139178908,3.5,False,False,False,Não sinalizada,Não sinalizada,2.3691752139178908
1,Indígenas 2022 Total,Pará,Norte,80980.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,1.7808475455469823,3.5,False,False,False,Não sinalizada,Não sinalizada,1.7808475455469823
1,Indígenas 2022 Total,Mato Grosso,Centro-Oeste,58356.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.9832489615810537,3.5,False,False,False,Não sinalizada,Não sinalizada,0.9832489615810537
1,Indígenas 2022 Total,Maranhão,Nordeste,57166.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.941296065766014,3.5,False,False,False,Não sinalizada,Não sinalizada,0.941296065766014
1,Indígenas 2022 Total,Ceará,Nordeste,56372.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.9133039655331222,3.5,False,False,False,Não sinalizada,Não sinalizada,0.9133039655331222
1,Indígenas 2022 Total,Sergipe,Nordeste,4710.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.9080157853883694,3.5,False,False,False,Não sinalizada,Não sinalizada,0.9080157853883694
1,Indígenas 2022 Total,São Paulo,Sudeste,55331.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.8766039953285371,3.5,False,False,False,Não sinalizada,Não sinalizada,0.8766039953285371
1,Indígenas 2022 Total,Distrito Federal,Centro-Oeste,5811.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.869200543125883,3.5,False,False,False,Não sinalizada,Não sinalizada,0.869200543125883
1,Indígenas 2022 Total,Piauí,Nordeste,7202.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.8201614859168747,3.5,False,False,False,Não sinalizada,Não sinalizada,0.8201614859168747
1,Indígenas 2022 Total,Amapá,Norte,11334.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.6744897501960817,3.5,False,False,False,Não sinalizada,Não sinalizada,0.6744897501960817
1,Indígenas 2022 Total,Rio Grande do Norte,Nordeste,11724.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.6607404818197242,3.5,False,False,False,Não sinalizada,Não sinalizada,0.6607404818197242
1,Indígenas 2022 Total,Espírito Santo,Sudeste,14410.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.5660468026943491,3.5,False,False,False,Não sinalizada,Não sinalizada,0.5660468026943491
1,Indígenas 2022 Total,Rio de Janeiro,Sudeste,16994.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.47494908606740605,3.5,False,False,False,Não sinalizada,Não sinalizada,0.47494908606740605
1,Indígenas 2022 Total,Goiás,Centro-Oeste,19517.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.3860018960326625,3.5,False,False,False,Não sinalizada,Não sinalizada,0.3860018960326625
1,Indígenas 2022 Total,Tocantins,Norte,20023.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.36816310167769606,3.5,False,False,False,Não sinalizada,Não sinalizada,0.36816310167769606
1,Indígenas 2022 Total,Rondônia,Norte,21146.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.3285722596606461,3.5,False,False,False,Não sinalizada,Não sinalizada,0.3285722596606461
1,Indígenas 2022 Total,Santa Catarina,Sul,21773.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.30646766665557906,3.5,False,False,False,Não sinalizada,Não sinalizada,0.30646766665557906
1,Indígenas 2022 Total,Minas Gerais,Sudeste,36699.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.21974151228163166,3.5,False,False,False,Não sinalizada,Não sinalizada,0.21974151228163166
1,Indígenas 2022 Total,Rio Grande do Sul,Sul,36102.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.1986945553055152,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1986945553055152
1,Indígenas 2022 Total,Alagoas,Nordeste,25725.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.1671417471084896,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1671417471084896
1,Indígenas 2022 Total,Acre,Norte,31694.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.04329256811837698,3.5,False,False,False,Não sinalizada,Não sinalizada,0.04329256811837698
1,Indígenas 2022 Total,Paraíba,Nordeste,30140.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,-0.011492978181262943,3.5,False,False,False,Não sinalizada,Não sinalizada,0.011492978181262943
1,Indígenas 2022 Total,Paraná,Sul,30466.0,18255.5,30466.0,57761.0,39505.5,1.5,-41002.75,117019.25,19132.0,0.0,3.5,False,False,False,Não sinalizada,Não sinalizada,0.0
2,Crescimento relativo (%),Rio Grande do Norte,Nordeste,351.4439738159415,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,6.395667201162173,3.5,True,True,True,Ambos os critérios,Superior,6.395667201162173
2,Crescimento relativo (%),Bahia,Nordeste,281.64171656686625,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,4.9087234302084175,3.5,True,True,True,Ambos os critérios,Superior,4.9087234302084175
2,Crescimento relativo (%),Ceará,Nordeste,172.36797603517417,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,2.5809490255408796,3.5,True,False,True,Somente Tukey,Superior,2.5809490255408796
2,Crescimento relativo (%),Amazonas,Norte,167.51909936026678,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,2.477657137111698,3.5,True,False,True,Somente Tukey,Superior,2.477657137111698
2,Crescimento relativo (%),Piauí,Nordeste,144.63315217391303,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,1.99013541571957,3.5,False,False,False,Não sinalizada,Não sinalizada,1.99013541571957
2,Crescimento relativo (%),Goiás,Centro-Oeste,127.39135500407784,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,1.6228466787629414,3.5,False,False,False,Não sinalizada,Não sinalizada,1.6228466787629414
2,Crescimento relativo (%),Sergipe,Nordeste,-9.787397050373492,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-1.2993667125135764,3.5,False,False,False,Não sinalizada,Não sinalizada,1.2993667125135764
2,Crescimento relativo (%),Distrito Federal,Centro-Oeste,-5.172976501305484,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-1.201069262511147,3.5,False,False,False,Não sinalizada,Não sinalizada,1.201069262511147
2,Crescimento relativo (%),Rio Grande do Sul,Sul,6.179230022646393,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.9592419428424203,3.5,False,False,False,Não sinalizada,Não sinalizada,0.9592419428424203
2,Crescimento relativo (%),Rio de Janeiro,Sudeste,6.920850635459922,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.9434437696300692,3.5,False,False,False,Não sinalizada,Não sinalizada,0.9434437696300692
2,Crescimento relativo (%),Mato Grosso,Centro-Oeste,12.88300835654596,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.816436511781969,3.5,False,False,False,Não sinalizada,Não sinalizada,0.816436511781969
2,Crescimento relativo (%),Paraná,Sul,14.710644226062728,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.7775037912819366,3.5,False,False,False,Não sinalizada,Não sinalizada,0.7775037912819366
2,Crescimento relativo (%),Minas Gerais,Sudeste,15.853774031631785,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.7531525767113646,3.5,False,False,False,Não sinalizada,Não sinalizada,0.7531525767113646
2,Crescimento relativo (%),Santa Catarina,Sul,19.54647779058914,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.6744897501960817,3.5,False,False,False,Não sinalizada,Não sinalizada,0.6744897501960817
2,Crescimento relativo (%),Paraíba,Nordeste,20.35299285229405,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.6573091804774944,3.5,False,False,False,Não sinalizada,Não sinalizada,0.6573091804774944
2,Crescimento relativo (%),Acre,Norte,80.30492661281147,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.6198007293601926,3.5,False,False,False,Não sinalizada,Não sinalizada,0.6198007293601926
2,Crescimento relativo (%),Pernambuco,Nordeste,74.84383965898844,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.5034673964760107,3.5,False,False,False,Não sinalizada,Não sinalizada,0.5034673964760107
2,Crescimento relativo (%),Roraima,Norte,74.65040592253496,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.4993468264422153,3.5,False,False,False,Não sinalizada,Não sinalizada,0.4993468264422153
2,Crescimento relativo (%),São Paulo,Sudeste,31.800100045258567,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.4134602648861005,3.5,False,False,False,Não sinalizada,Não sinalizada,0.4134602648861005
2,Crescimento relativo (%),Rondônia,Norte,61.71612113796267,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.22381771105080017,3.5,False,False,False,Não sinalizada,Não sinalizada,0.22381771105080017
2,Crescimento relativo (%),Tocantins,Norte,41.82603768239128,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.1998854307040325,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1998854307040325
2,Crescimento relativo (%),Pará,Norte,58.11156451959311,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.1470326152392208,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1470326152392208
2,Crescimento relativo (%),Alagoas,Nordeste,57.909275059848994,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.14272339854694688,3.5,False,False,False,Não sinalizada,Não sinalizada,0.14272339854694688
2,Crescimento relativo (%),Maranhão,Nordeste,47.21742937343875,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.085036762369871,3.5,False,False,False,Não sinalizada,Não sinalizada,0.085036762369871
2,Crescimento relativo (%),Amapá,Norte,52.934826609094586,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.036756551208670864,3.5,False,False,False,Não sinalizada,Não sinalizada,0.036756551208670864
2,Crescimento relativo (%),Espírito Santo,Sudeste,50.33907146583203,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.018538823085927147,3.5,False,False,False,Não sinalizada,Não sinalizada,0.018538823085927147
2,Crescimento relativo (%),Mato Grosso do Sul,Centro-Oeste,51.2093476144109,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.0,3.5,False,False,False,Não sinalizada,Não sinalizada,0.0
3,Urbanização 2022 (%),Goiás,Centro-Oeste,95.52185274376184,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.8811585541171343,3.5,False,False,False,Não sinalizada,Não sinalizada,1.8811585541171343
3,Urbanização 2022 (%),Rio de Janeiro,Sudeste,94.5863245851477,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.8410297031737555,3.5,False,False,False,Não sinalizada,Não sinalizada,1.8410297031737555
3,Urbanização 2022 (%),Distrito Federal,Centro-Oeste,91.84305627258648,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.723359054568654,3.5,False,False,False,Não sinalizada,Não sinalizada,1.723359054568654
3,Urbanização 2022 (%),São Paulo,Sudeste,87.50609965480473,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.5373282183395498,3.5,False,False,False,Não sinalizada,Não sinalizada,1.5373282183395498
3,Urbanização 2022 (%),Mato Grosso,Centro-Oeste,17.336692028240456,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.47254131204724,3.5,False,False,False,Não sinalizada,Não sinalizada,1.47254131204724
3,Urbanização 2022 (%),Maranhão,Nordeste,20.45971381590456,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.3385813936245323,3.5,False,False,False,Não sinalizada,Não sinalizada,1.3385813936245323
3,Urbanização 2022 (%),Sergipe,Nordeste,82.50530785562633,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.3228226186306387,3.5,False,False,False,Não sinalizada,Não sinalizada,1.3228226186306387
3,Urbanização 2022 (%),Tocantins,Norte,20.95090645757379,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.3175120157329807,3.5,False,False,False,Não sinalizada,Não sinalizada,1.3175120157329807
3,Urbanização 2022 (%),Roraima,Norte,22.191505918007945,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.264297336549036,3.5,False,False,False,Não sinalizada,Não sinalizada,1.264297336549036
3,Urbanização 2022 (%),Bahia,Nordeste,78.46611140893381,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.1495640046083093,3.5,False,False,False,Não sinalizada,Não sinalizada,1.1495640046083093
3,Urbanização 2022 (%),Amapá,Norte,25.22498676548438,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.134178216512818,3.5,False,False,False,Não sinalizada,Não sinalizada,1.134178216512818
3,Urbanização 2022 (%),Acre,Norte,27.920111062030667,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.0185726730835356,3.5,False,False,False,Não sinalizada,Não sinalizada,1.0185726730835356
