K,Procedimento,Repetição ou elemento,N UFs comparadas,ARI
2,Reinicialização,1,27,0.07879985743446846
2,Reinicialização,10,27,1.0
2,Reinicialização,100,27,1.0
2,Reinicialização,11,27,-0.034928555227942845
2,Reinicialização,12,27,0.20245398773006135
2,Reinicialização,13,27,-0.034928555227942845
2,Reinicialização,14,27,-0.0017838030681412772
2,Reinicialização,15,27,1.0
2,Reinicialização,16,27,-0.034928555227942845
2,Reinicialização,17,27,0.07766423357664233
2,Reinicialização,18,27,1.0
2,Reinicialização,19,27,1.0
2,Reinicialização,2,27,0.5897002954833263
2,Reinicialização,20,27,0.20245398773006135
2,Reinicialização,21,27,0.3732142857142857
2,Reinicialização,22,27,1.0
2,Reinicialização,23,27,1.0
2,Reinicialização,24,27,-0.034928555227942845
2,Reinicialização,25,27,1.0
2,Reinicialização,26,27,1.0
2,Reinicialização,27,27,-0.0017838030681412772
2,Reinicialização,28,27,0.5897002954833263
2,Reinicialização,29,27,1.0
2,Reinicialização,3,27,-0.034928555227942845
2,Reinicialização,30,27,0.07879985743446846
2,Reinicialização,31,27,-0.034928555227942845
2,Reinicialização,32,27,0.07879985743446846
2,Reinicialização,33,27,1.0
2,Reinicialização,34,27,-0.0020437956204379564
2,Reinicialização,35,27,0.1353558926487748
2,Reinicialização,36,27,1.0
2,Reinicialização,37,27,1.0
2,Reinicialização,38,27,0.07879985743446846
2,Reinicialização,39,27,1.0
2,Reinicialização,4,27,1.0
2,Reinicialização,40,27,1.0
2,Reinicialização,41,27,-0.0017838030681412772
2,Reinicialização,42,27,0.8518410286382233
2,Reinicialização,43,27,1.0
2,Reinicialização,44,27,0.5897002954833263
2,Reinicialização,45,27,-0.034928555227942845
2,Reinicialização,46,27,0.8518410286382233
2,Reinicialização,47,27,0.07879985743446846
2,Reinicialização,48,27,0.07879985743446846
2,Reinicialização,49,27,1.0
2,Reinicialização,5,27,0.20245398773006135
2,Reinicialização,50,27,0.03189694334479849
2,Reinicialização,51,27,0.20245398773006135
2,Reinicialização,52,27,0.20245398773006135
2,Reinicialização,53,27,1.0
2,Reinicialização,54,27,1.0
2,Reinicialização,55,27,1.0
2,Reinicialização,56,27,0.07879985743446846
2,Reinicialização,57,27,0.8518410286382233
2,Reinicialização,58,27,1.0
2,Reinicialização,59,27,1.0
2,Reinicialização,6,27,0.5897002954833263
2,Reinicialização,60,27,-0.034928555227942845
2,Reinicialização,61,27,0.5897002954833263
2,Reinicialização,62,27,-0.034928555227942845
2,Reinicialização,63,27,0.3732142857142857
2,Reinicialização,64,27,-0.034928555227942845
2,Reinicialização,65,27,1.0
2,Reinicialização,66,27,0.8518410286382233
2,Reinicialização,67,27,-0.0017838030681412772
2,Reinicialização,68,27,0.03189694334479849
2,Reinicialização,69,27,0.3732142857142857
2,Reinicialização,7,27,1.0
2,Reinicialização,70,27,-0.034928555227942845
2,Reinicialização,71,27,0.07879985743446846
2,Reinicialização,72,27,1.0
2,Reinicialização,73,27,1.0
2,Reinicialização,74,27,0.8518410286382233
2,Reinicialização,75,27,0.07879985743446846
2,Reinicialização,76,27,1.0
2,Reinicialização,77,27,1.0
2,Reinicialização,78,27,-0.034928555227942845
2,Reinicialização,79,27,0.5897002954833263
2,Reinicialização,8,27,1.0
2,Reinicialização,80,27,1.0
2,Reinicialização,81,27,1.0
2,Reinicialização,82,27,1.0
2,Reinicialização,83,27,-0.034928555227942845
2,Reinicialização,84,27,1.0
2,Reinicialização,85,27,-0.034928555227942845
2,Reinicialização,86,27,1.0
2,Reinicialização,87,27,1.0
2,Reinicialização,88,27,-0.0017838030681412772
2,Reinicialização,89,27,0.07879985743446846
2,Reinicialização,9,27,0.07879985743446846
2,Reinicialização,90,27,1.0
2,Reinicialização,91,27,0.07879985743446846
2,Reinicialização,92,27,-0.034928555227942845
2,Reinicialização,93,27,0.20245398773006135
2,Reinicialização,94,27,0.5897002954833263
2,Reinicialização,95,27,1.0
2,Reinicialização,96,27,0.20245398773006135
2,Reinicialização,97,27,0.3732142857142857
2,Reinicialização,98,27,1.0
2,Reinicialização,99,27,0.5897002954833263
2,Retirada de UF,Acre,26,1.0
2,Retirada de UF,Alagoas,26,0.5751633986928104
2,Retirada de UF,Amapá,26,0.8460736951785545
2,Retirada de UF,Amazonas,26,1.0
2,Retirada de UF,Bahia,26,1.0
2,Retirada de UF,Ceará,26,0.8461902508282063
2,Retirada de UF,Distrito Federal,26,1.0
2,Retirada de UF,Espírito Santo,26,1.0
2,Retirada de UF,Goiás,26,0.5756457564575646
2,Retirada de UF,Maranhão,26,1.0
2,Retirada de UF,Mato Grosso,26,1.0
2,Retirada de UF,Mato Grosso do Sul,26,1.0
2,Retirada de UF,Minas Gerais,26,1.0
2,Retirada de UF,Paraná,26,1.0
2,Retirada de UF,Paraíba,26,0.8460736951785545
2,Retirada de UF,Pará,26,1.0
2,Retirada de UF,Pernambuco,26,1.0
2,Retirada de UF,Piauí,26,0.5756457564575646
2,Retirada de UF,Rio Grande do Norte,26,0.5756457564575646
2,Retirada de UF,Rio Grande do Sul,26,0.8460736951785545
2,Retirada de UF,Rio de Janeiro,26,1.0
2,Retirada de UF,Rondônia,26,0.5751633986928104
2,Retirada de UF,Roraima,26,1.0
2,Retirada de UF,Santa Catarina,26,1.0
2,Retirada de UF,Sergipe,26,1.0
2,Retirada de UF,São Paulo,26,1.0
2,Retirada de UF,Tocantins,26,1.0
2,Retirada de variável,Crescimento logarítmico,27,1.0
2,Retirada de variável,Mudança na presença em TI (p.p.),27,0.5899000389458653
2,Retirada de variável,Mudança na urbanização (p.p.),27,0.5897136177673875
2,Retirada de variável,População 2022 (log10),27,1.0
2,Retirada de variável,Presença em TI 2022 (%),27,0.3732142857142857
2,Retirada de variável,Urbanização 2022 (%),27,0.20245398773006135
2,Subamostra de 80%,1,27,1.0
2,Subamostra de 80%,10,27,0.20245398773006135
2,Subamostra de 80%,100,27,0.13398045644904716
2,Subamostra de 80%,11,27,0.13482307916842345
