Localidade,Região,Indígenas 2010 Total,Indígenas 2022 Total,Posição em 2010,Posição em 2022,Variação no ranking (posições),Mudança absoluta (posições),Movimento
Amazonas,Norte,183514,490935,1,1,0,0,Permaneceu
Bahia,Nordeste,60120,229443,4,2,2,2,Subiu
Mato Grosso do Sul,Centro-Oeste,77025,116469,2,3,-1,1,Desceu
Pernambuco,Nordeste,60995,106646,3,4,-1,1,Desceu
Roraima,Norte,55922,97668,5,5,0,0,Permaneceu
Pará,Norte,51217,80980,7,6,1,1,Subiu
Mato Grosso,Centro-Oeste,51696,58356,6,7,-1,1,Desceu
Maranhão,Nordeste,38831,57166,9,8,1,1,Subiu
Ceará,Nordeste,20697,56372,14,9,5,5,Subiu
São Paulo,Sudeste,41981,55331,8,10,-2,2,Desceu
Minas Gerais,Sudeste,31677,36699,11,11,0,0,Permaneceu
Rio Grande do Sul,Sul,34001,36102,10,12,-2,2,Desceu
Acre,Norte,17578,31694,16,13,3,3,Subiu
Paraná,Sul,26559,30466,12,14,-2,2,Desceu
Paraíba,Nordeste,25043,30140,13,15,-2,2,Desceu
Alagoas,Nordeste,16291,25725,17,16,1,1,Subiu
Santa Catarina,Sul,18213,21773,15,17,-2,2,Desceu
Rondônia,Norte,13076,21146,20,18,2,2,Subiu
Tocantins,Norte,14118,20023,19,19,0,0,Permaneceu
Goiás,Centro-Oeste,8583,19517,22,20,2,2,Subiu
Rio de Janeiro,Sudeste,15894,16994,18,21,-3,3,Desceu
Espírito Santo,Sudeste,9585,14410,21,22,-1,1,Desceu
Rio Grande do Norte,Nordeste,2597,11724,27,23,4,4,Subiu
Amapá,Norte,7411,11334,23,24,-1,1,Desceu
Piauí,Nordeste,2944,7202,26,25,1,1,Subiu
Distrito Federal,Centro-Oeste,6128,5811,24,26,-2,2,Desceu
Sergipe,Nordeste,5221,4710,25,27,-2,2,Desceu
