Ordem da relação,Relação,Variável X,Variável Y,UF retirada hipoteticamente,Região,N completo,N sem UF,Spearman completo (ρ),Spearman sem UF (ρ),Variação de ρ,Variação absoluta de ρ,Rank de influência na relação
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Ceará,Nordeste,27,26,0.967032967032967,0.9753846153846153,0.008351648351648255,0.008351648351648255,1
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Amazonas,Norte,27,26,0.967032967032967,0.9630769230769229,-0.003956043956044097,0.003956043956044097,2
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Roraima,Norte,27,26,0.967032967032967,0.9630769230769229,-0.003956043956044097,0.003956043956044097,3
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Mato Grosso,Centro-Oeste,27,26,0.967032967032967,0.9637606837606837,-0.0032722832722833495,0.0032722832722833495,4
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Pará,Norte,27,26,0.967032967032967,0.9637606837606837,-0.0032722832722833495,0.0032722832722833495,5
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Rio Grande do Norte,Nordeste,27,26,0.967032967032967,0.9699145299145299,0.002881562881562827,0.002881562881562827,6
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Alagoas,Nordeste,27,26,0.967032967032967,0.9644444444444444,-0.0025885225885226015,0.0025885225885226015,7
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Espírito Santo,Sudeste,27,26,0.967032967032967,0.9644444444444444,-0.0025885225885226015,0.0025885225885226015,8
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Maranhão,Nordeste,27,26,0.967032967032967,0.9644444444444444,-0.0025885225885226015,0.0025885225885226015,9
1,Persistência da magnitude populacional,Indígenas 2010 Total,Indígenas 2022 Total,Mato Grosso do Sul,Centro-Oeste,27,26,0.967032967032967,0.9644444444444444,-0.0025885225885226015,0.0025885225885226015,10
