UF retirada hipoteticamente,Região,População da UF,Participação da UF (%),Média sem UF,Variação da média (%),Mediana sem UF,Variação da mediana (%),Gini sem UF,Variação do Gini (%),HHI sem UF,Variação do HHI (%),CR3 sem UF (%),Variação do CR3 (%),Variação do CR3 (p.p.),Variação máxima absoluta (%),Métrica de maior variação,Rank de influência
Amazonas,Norte,490935,28.966519474450624,46303.88461538462,-26.23446253116026,30303.0,-0.5350226481979914,0.4847329639231134,-17.025934615872494,0.0795639874306609,-35.86237316381064,37.59096470556964,-23.868377065665737,-11.785317129368963,35.86237316381064,HHI,1
Bahia,Nordeste,229443,13.537770026126422,56361.269230769234,-10.212299642515887,30303.0,-0.5350226481979914,0.5698165034121327,-2.4617772465488907,0.14142435018376798,14.004117824562545,48.7275427137976,-1.3138679078949167,-0.6487391211410056,14.004117824562545,HHI,2
Mato Grosso do Sul,Centro-Oeste,116469,6.871992334361554,60706.42307692308,-3.290145885683149,30303.0,-0.5350226481979914,0.5923487084094852,1.3951683087268352,0.1375901480564326,10.913314645902439,52.39744622131608,6.118655099379522,3.021164386377478,10.913314645902439,HHI,3
Pernambuco,Nordeste,106646,6.292408233008976,61084.230769230766,-2.6882700881247112,30303.0,-0.5350226481979914,0.5936806146522869,1.6231570858492805,0.13676231000788716,10.245982985524327,52.691869360718805,6.71493964827885,3.3155875257802023,10.245982985524327,HHI,4
Roraima,Norte,97668,5.762681462985209,61429.53846153846,-2.138169211561558,30303.0,-0.5350226481979914,0.5944512171158336,1.755064804024653,0.13594817381310845,9.589696578309525,52.39567784979414,6.115073680414351,3.0193960148555377,9.589696578309525,HHI,5
Pará,Norte,80980,4.778043421310381,62071.38461538462,-1.1156604759761546,30303.0,-0.5350226481979914,0.5950653875896278,1.8601953085341183,0.1342958294769931,8.257719035994725,51.85388287430849,5.017795887613263,2.477601039369887,8.257719035994725,HHI,6
Mato Grosso,Centro-Oeste,58356,3.443165002395512,62941.53846153846,0.27055942058928917,30303.0,-0.5350226481979914,0.5948145738696189,1.8172623216069939,0.13178536671271213,6.234000401959139,51.1370135901447,3.5659464215877845,1.7607317552060948,6.234000401959139,HHI,7
Maranhão,Nordeste,57166,3.372951719222391,62987.307692307695,0.34347321465368896,30303.0,-0.5350226481979914,0.5947456776066936,1.80546901797356,0.13164517237167497,6.12098781145991,51.09985528219971,3.490691042761984,1.72357344726111,6.12098781145991,HHI,8
Ceará,Nordeste,56372,3.3261035286009974,63017.846153846156,0.3921232587605017,30303.0,-0.5350226481979914,0.5946624868920385,1.7912288645058005,0.13155119329033615,6.045229978752387,51.07509228155149,3.440539432053402,1.6988104466128888,6.045229978752387,HHI,9
São Paulo,Sudeste,55331,3.264681656514259,63057.88461538462,0.4559075105428967,30303.0,-0.5350226481979914,0.594504696891393,1.7642191936046103,0.1314274504143671,5.945479140982246,51.042662266964726,3.37486009496768,1.6663804320261235,5.945479140982246,HHI,10
Minas Gerais,Sudeste,36699,2.1653422514036755,63774.5,1.5975292004654085,30303.0,-0.5350226481979914,0.5908496889999022,1.1385739696578412,0.1291140816217636,4.0806406739082535,50.469110815330694,2.2132670581501923,1.0928289803920919,4.0806406739082535,HHI,11
Rio Grande do Sul,Sul,36102,2.130117604299177,63797.46153846154,1.6341086416893136,30303.0,-0.5350226481979914,0.590706248537462,1.1140205780070689,0.1290369550652562,4.0184678937325025,50.4509463241243,2.1764791702587605,1.0746644891857002,4.0184678937325025,HHI,12
Sergipe,Nordeste,4710,0.27790299474403424,65004.846153846156,3.5575622746888858,31080.0,2.0153613864635878,0.5726832018623282,-1.9710707290510832,0.124736573613568,0.5518711367258344,49.51388239693372,0.27867744771690184,0.1376005619951144,3.5575622746888858,Média,13
Acre,Norte,31694,1.8700334427637837,63967.0,1.9041960402068403,30303.0,-0.5350226481979914,0.5894464536679094,0.8983754503663732,0.12846190170457306,3.5549094541742265,50.31723087986474,1.9056701111510588,0.9409490449261355,3.5549094541742265,HHI,14
Distrito Federal,Centro-Oeste,5811,0.3428650323689135,64962.5,3.4901016971553567,31080.0,2.0153613864635878,0.5736832924775673,-1.7998804237182253,0.12489518659288192,0.6797312453896698,49.54615828658546,0.3440446411391296,0.16987645164685716,3.4901016971553567,Média,15
Paraná,Sul,30466,1.7975780547498401,64014.230769230766,1.9794381739136169,30917.0,1.4803387382656075,0.5890399277897251,0.8287884667954604,0.12829996454377274,3.4243696769995946,50.280105986048774,1.8304824047537416,0.9038241511101717,3.4243696769995946,HHI,16
Piauí,Nordeste,7202,0.42493787009480566,64909.0,3.404872211824639,31080.0,2.0153613864635878,0.57488526723029,-1.5941326426816116,0.1250948008967347,0.840643086853543,49.58699575855903,0.4267512979710064,0.21071392362042474,3.404872211824639,Média,17
Paraíba,Nordeste,30140,1.778343155325943,64026.769230769234,1.9994128771615216,31080.0,2.0153613864635878,0.5889170432041924,0.807753723145721,0.1282568486721182,3.389613378626466,50.27025955489771,1.810540783422332,0.8939777199591106,3.389613378626466,HHI,18
Amapá,Norte,11334,0.6687372701547525,64750.07692307692,3.1516959117623866,31080.0,2.0153613864635878,0.5782786760528398,-1.0132665855467349,0.12568259776267443,1.3144742416329347,49.708702454763944,0.6732394734309866,0.3324206198253421,3.1516959117623866,Média,19
Rio Grande do Norte,Nordeste,11724,0.6917483461526661,64735.07692307692,3.1277997943799374,31080.0,2.0153613864635878,0.5785820003020048,-0.9613451195933709,0.1257376748644828,1.3588726524853767,49.72022063891173,0.6965668357185928,0.34393880397312415,3.1277997943799374,Média,20
Espírito Santo,Sudeste,14410,0.8502297567434253,64631.769230769234,2.9632229449203074,31080.0,2.0153613864635878,0.5805519186572563,-0.6241447503691377,0.12611509697347387,1.6631178162573867,49.7996936491104,0.857520652501198,0.42341181417179996,2.9632229449203074,Média,21
Alagoas,Nordeste,25725,1.5178459744777666,64196.57692307692,2.2699291803500055,31080.0,2.0153613864635878,0.5870540803319391,0.48886143672168814,0.127667768318778,2.914747586964239,50.137288652462296,1.5412396179762755,0.7610068175236933,2.914747586964239,HHI,22
Rio de Janeiro,Sudeste,16994,1.0026928859193456,64532.38461538462,2.804895849237621,31080.0,2.0153613864635878,0.5823345152239054,-0.31900914977456285,0.126475023733154,1.9532597378251415,49.876388837566346,1.0128486472504417,0.5001070026277432,2.804895849237621,Média,23
Goiás,Centro-Oeste,19517,1.1515568467981563,64435.346153846156,2.650306351401932,31080.0,2.0153613864635878,0.5839644913549644,-0.03999832084626842,0.12682342819827205,2.234113378943592,49.95150177369205,1.1649721635103472,0.5752199387534489,2.650306351401932,Média,24
