Dimensão,Localidade,Região,Indicador original,Indicador transformado,Sinalizada na escala original,Sinalizada na escala transformada,Mudou com a transformação,Resultado
Magnitude populacional,Amazonas,Norte,Indígenas 2022 Total,População 2022 (log10),True,True,False,Permaneceu sinalizada
Magnitude populacional,Bahia,Nordeste,Indígenas 2022 Total,População 2022 (log10),True,False,True,Deixou de ser sinalizada
Magnitude populacional,Mato Grosso do Sul,Centro-Oeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Pernambuco,Nordeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Roraima,Norte,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Pará,Norte,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Mato Grosso,Centro-Oeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Maranhão,Nordeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Ceará,Nordeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Sergipe,Nordeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,São Paulo,Sudeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Distrito Federal,Centro-Oeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Piauí,Nordeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Amapá,Norte,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Rio Grande do Norte,Nordeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Espírito Santo,Sudeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Rio de Janeiro,Sudeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Goiás,Centro-Oeste,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Tocantins,Norte,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Rondônia,Norte,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
Magnitude populacional,Santa Catarina,Sul,Indígenas 2022 Total,População 2022 (log10),False,False,False,Não sinalizada nas duas escalas
